# GENERATED by scripts/vocabulary-registry.cjs — do not hand-edit.
# Provenance is declared in shared/vocabularies/authorities.tsv; everything else is derived.
# consumers counts files referencing the vocabulary OR its derived type, outside its own file.
#
name	file	form	values	hash	derivedType	consumers	authority	citation
ACCEPTED_UPLOAD_MIME_TYPES	shared/uploads.ts	array	6	616573714ca0		2	internal	
ACTIVE_TASK_STATUSES	shared/schema/underwritingTasks.ts	array	3	c4714605ed02		4	internal	
AI_OUTPUT_CLASSIFICATIONS	shared/schema/ai.ts	array	4	5bd44e0e5879		0	internal	
AMORTIZATION_TYPES	shared/statusVocabularies.ts	array	2	17eaa26ac5c2	AmortizationType	3	internal	
ANALYTICS_DOMAINS	shared/schema/intelligence.ts	array	9	ca6fa2d4431b	AnalyticsDomain	2	internal	
ANOMALY_CATEGORIES	shared/schema/underwritingCore.ts	array	8	637d0783781b		0	internal	
ANOMALY_SEVERITY	shared/schema/underwritingCore.ts	array	4	2f215d2812bb		0	internal	
APPROVAL_OUTCOME_STATUSES	shared/loanApplicationStatus.ts	array	3	23c7e9fdcb03		2	internal	
ASSET_TYPES	shared/schema/underwritingFinancials.ts	array	15	c2cd0b337ab4	AssetType	2	internal	
AssetType	shared/mismo.ts	union	24	5ff4959b15d5		2	ULAD	AssetType
AUDIT_ACTOR_ROLES	shared/schema/underwritingCore.ts	array	7	775fd4485f40		0	internal	
AUDIT_EVENT_CATEGORIES	shared/schema/underwritingCore.ts	array	7	e57bc9a87f68		0	internal	
AuthTokenType	shared/schema/core.ts	union	2	a279306573a4		1	internal	
AUTOPILOT_GUIDELINE_MODES	shared/schema/autopilot.ts	array	1	48b2eb4311ae	AutopilotGuidelineMode	2	internal	
BENCHMARK_GEO_LEVELS	shared/schema/marketData.ts	array	3	6f6463baa130	BenchmarkGeoLevel	0	internal	
BORROWER_ACTIVITY_EMBARGOED_COLUMNS	shared/borrowerActivityView.ts	array	2	6afffca5f73d		1	internal	
BORROWER_ACTIVITY_VIEW_COLUMNS	shared/borrowerActivityView.ts	array	7	a524dae6c66f		1	internal	
BORROWER_EMBARGOED_DOCUMENT_COLUMNS	shared/borrowerDocumentView.ts	array	1	7a4b59eed062		1	internal	
BORROWER_STATES	shared/schema/intelligence.ts	array	16	961132b278b4	BorrowerState	4	internal	
BORROWER_TASK_EMBARGOED_COLUMNS	shared/borrowerTaskView.ts	array	17	8b4eda829574		3	internal	
BORROWER_TASK_VIEW_COLUMNS	shared/borrowerTaskView.ts	array	21	87dc9f36592b		1	internal	
BorrowerClassificationType	shared/mismo.ts	union	3	b95a02232950		2	uldd-spec	
BorrowerTaskSlaStatus	shared/borrowerTaskView.ts	union	3	435472b1eebf		0	internal	
BROKER_COMMISSION_STATUSES	shared/schema/admin.ts	array	4	f10187acd496	BrokerCommissionStatus	1	internal	
BUSINESS_CHANNELS	shared/businessChannel.ts	array	2	0ccee6f7641e	BusinessChannel	1	internal	
BUSINESS_ENTITY_TYPES	shared/schema/documents.ts	array	5	a1c6c6548499	BusinessEntityType	1	internal	
CASH_FLOW_ADJUSTMENT_TYPES	shared/schema/underwritingCore.ts	array	10	a1b934199e54	CashFlowAdjustmentType	0	internal	
CHANGE_TYPES	shared/schema/underwritingConditions.ts	array	6	91a41bc43280	ChangeType	0	internal	
CHECKLIST_ITEM_STATUSES	shared/documentStatus.ts	array	5	98077ecedfc9	ChecklistItemStatus	2	internal	
CITIZENSHIP_TYPES	shared/schema/intelligence.ts	array	5	5ec1becd6652		0	internal	
CitizenshipResidencyType	shared/mismo.ts	union	5	33891f98ee6f		3	ULAD	CitizenshipResidencyType
ClawbackWindowSource	shared/compensationClawback.ts	union	2	7fbcd2f86f87		0	internal	
CLEARABLE_INTAKE_FIELDS	shared/intakeClearable.ts	array	10	96a744b83abc	ClearableIntakeField	7	internal	
CLIENT_ROLES	shared/roles.ts	array	2	e328b4fb0a37		6	internal	
COC_REASON_TYPES	shared/compliance/changeOfCircumstance.ts	array	6	24c507660296	CocReasonType	3	internal	
COC_STATUSES	shared/compliance/changeOfCircumstance.ts	array	3	26ee4a217c9a	CocStatus	1	internal	
COMPENSATION_MODELS	shared/compliance/loCompensation.ts	array	2	76e2ec5200ed	CompensationModel	6	internal	
ComplaintCategory	shared/compliance/complaintEscalation.ts	union	2	d1fcf3d1f052		1	internal	
CONDITION_CATEGORIES	shared/schema/underwritingConditions.ts	array	8	af99c2bc39dc		4	internal	
CONDITION_PRIORITY	shared/schema/underwritingConditions.ts	array	3	a44246864184		1	internal	
CONFIDENCE_LEVELS	shared/schema/lendingLetters.ts	array	3	463af1159258	ConfidenceLevel	1	internal	
CONSENT_TYPES	shared/schema/compliance.ts	array	11	23e21b2cc571	ConsentType	0	internal	
CREDIT_DECISION_ROLES	shared/loanApplicationStatus.ts	array	2	344ee751157c		10	internal	
CREDIT_REFRESH_REASONS	shared/schema/lendingLetters.ts	array	7	4a8b2e06634b	CreditRefreshReason	0	internal	
CREDIT_REFRESH_TYPES	shared/schema/lendingLetters.ts	array	2	889dc650cc91	CreditRefreshType	0	internal	
CREDIT_SCORE_BAND_VALUES	shared/preApprovalForm.ts	array	6	e865c4c42260		7	internal	
CURRENT_PROPERTY_DISPOSITIONS	shared/schema/lendingCore.ts	array	3	8c1cb5ed3f72	CurrentPropertyDisposition	0	internal	
CYCLE_TIME_TERMINAL_STATUSES	shared/cycleTimeReport.ts	array	4	b201e6f0da34		1	internal	
DOC_METHODS	shared/loanProducts.ts	array	6	5bd145cab526	DocMethod	2	internal	
DOCUMENT_PACKAGE_TYPES	shared/schema/documents.ts	array	5	91571264c095	DocumentPackageType	0	internal	
DOCUMENT_REVIEW_ROLES	shared/documentStatus.ts	array	5	8401e578170a		5	internal	
DOCUMENT_STATUSES	shared/documentStatus.ts	array	4	e24710fd8d36	DocumentStatus	3	internal	
DOCUMENT_SUBJECT_TYPES	shared/documentLineage.ts	array	4	7fb7640d846a	DocumentSubjectType	2	internal	
DOCUMENT_TYPE_TAXONOMY	shared/schema/documents.ts	array	46	926146f14c60	DocumentTypeTaxonomy	6	internal	
EditSeverity	shared/fannieMae/loanDeliveryEdits.ts	union	2	aaecbabcc789		0	internal	
EditSource	shared/fannieMae/loanDeliveryEdits.ts	union	4	22a54bcd93dc		0	internal	
ENTITY_BEARING_FORM_TYPES	shared/taxFormExtraction.ts	array	5	08087b74fd82		2	internal	
EXPOSURE_BASES	shared/contingentLiabilities.ts	array	2	b42a4fe1c6de	ExposureBasis	0	internal	
EXPOSURE_CATEGORIES	shared/contingentLiabilities.ts	array	8	278026df3be0	ExposureCategory	0	internal	
EXTENSION_FEE_PAYERS	shared/schema/lendingRatesOps.ts	array	3	f94ac7e5d1b9	ExtensionFeePayer	2	internal	
FATAL_FEE_TYPE_SECTIONS	shared/fannieMae/ucdFeeEnumerations.ts	array	2	83a23a4ab7ef		1	internal	
FEE_PROVENANCE_TIERS	shared/compliance/feeProvenance.ts	array	3	b98b0a71e6bd	FeeProvenanceTier	0	internal	
FIELD_VERIFICATION_STATUS	shared/schema/intelligence.ts	array	6	06ac8bf1bf2e	FieldVerificationStatus	1	internal	
FILE_REVIEW_SECTIONS	shared/fileReview.ts	array	4	c238922a595e	FileReviewSection	2	internal	
FINANCIAL_VERIFICATION_ROLES	shared/loanApplicationStatus.ts	array	5	8401e578170a		8	internal	
FINANCIAL_WORKPAPER_KINDS	shared/financialReview.ts	array	6	163348536342	FinancialWorkpaperKind	2	internal	
FURNISHING_STATE	shared/schema/rent.ts	array	6	f288323799cf	FurnishingState	3	internal	
GATED_SITEMAP_PATHS	shared/seo/routeMeta.ts	array	6	08397f1a3d99		1	internal	
HomebuyerPlanningStage	shared/homebuyerJourney.ts	union	3	a221f95e0340		2	internal	
HOUSING_STATUS_TYPES	shared/schema/intelligence.ts	array	4	93ca79ca9101		0	internal	
INCOME_PATH_IDS	shared/incomePaths.ts	array	5	2cf686b1fc72	IncomePathId	4	internal	
INCOME_TYPES	shared/schema/underwritingTasks.ts	array	13	2743ad5a0e91	IncomeType	2	internal	
IncomePathKind	shared/incomePaths.ts	union	2	12b65f52d50d		0	internal	
IncomePathRole	shared/incomePaths.ts	union	2	217d537e6161		0	internal	
IncomePathStatus	shared/incomePaths.ts	union	3	8e3655838898		0	internal	
INTENT_EVENT_TYPES	shared/schema/intelligence.ts	array	35	9501655d522e	IntentEventType	1	internal	
INTERNAL_STAFF_ROLES	shared/roles.ts	array	6	0635acce74ba		9	internal	
JourneyStepId	shared/borrowerJourney.ts	union	7	608e57432bed		1	internal	
K1_VARIANTS	shared/taxFormExtraction.ts	array	2	b978376fe176	K1Variant	1	internal	
LEASE_STATUS	shared/schema/rent.ts	array	3	b317624de871	LeaseStatus	0	internal	
LEASE_VERIFICATION_STATUS	shared/schema/rent.ts	array	4	87c11fab5d37	LeaseVerificationStatus	0	internal	
LENDER_APPROVAL_STATUSES	shared/wholesaleLenders.ts	array	4	367686c1bd50		2	internal	
LENDER_AUTHORIZATION_COLUMNS	shared/schema/lendingWholesale.ts	array	2	c65971011f70		1	internal	
LENDER_CONTRACT_TERM_COLUMNS	shared/schema/lendingWholesale.ts	array	1	1eb4b38bedf9		1	internal	
LENDER_SUBMISSION_STATUSES	shared/wholesaleLenders.ts	array	10	76089f284afb	LenderSubmissionStatus	5	internal	
LenderApprovalStatus	shared/wholesaleLenders.ts	union	4	367686c1bd50		3	internal	
LETTER_GENERATION_EVENTS	shared/schema/lendingLetters.ts	array	10	fe39edb7dfd6	LetterGenerationEvent	0	internal	
LIABILITY_TYPES	shared/schema/underwritingFinancials.ts	array	11	869f377e0cc2	LiabilityType	6	internal	
LiabilityKind	shared/liabilityTypes.ts	union	9	ba0683878bff		2	internal	
LiabilityType	shared/mismo.ts	union	10	e048574e72b5		2	ULAD	LiabilityType
LICENSE_VERIFICATION_STATUSES	shared/schema/partners.ts	array	3	737f2c4f6712	LicenseVerificationStatus	2	internal	
LICENSED_STATES	shared/companyIdentity.ts	array	1	84fb2bf50d4f		7	internal	
LienPriorityType	shared/mismo.ts	union	5	5339615d3f1f		2	ULAD	LienPriorityType
LOAN_APP_APPROVED_GRADE_STATUSES	shared/loanApplicationStatus.ts	array	8	003cd4f73320		2	internal	
LOAN_APP_STATUSES	shared/loanApplicationStatus.ts	array	16	ba4c0728175a	LoanAppStatus	16	internal	
LOAN_APP_TERMINAL_STATUSES	shared/loanApplicationStatus.ts	array	4	b201e6f0da34		10	internal	
LOAN_CONDITION_STATUSES	shared/statusVocabularies.ts	array	5	e4958a5d8cd4	LoanConditionStatus	2	internal	
LOAN_COST_CATEGORIES	shared/statusVocabularies.ts	array	10	a399edb2d522	LoanCostCategory	5	internal	
LOAN_PRODUCT_FAMILIES	shared/loanProducts.ts	array	7	8bd226167604	LoanProductFamily	3	internal	
LOAN_STAGES	shared/schema/lendingComms.ts	array	11	a9ca19f5c27a	LoanStage	0	internal	
LoanAmortizationType	shared/mismo.ts	union	5	0a27bc7c58df		3	uldd-spec	
LoanIdentifierType	shared/mismo.ts	union	6	5a2e814af83f		1	ULAD	LoanIdentifierType
LoanPurposeType	shared/mismo.ts	union	4	8401d4844492		2	ULAD	LoanPurposeType
MARITAL_STATUS_TYPES	shared/schema/intelligence.ts	array	6	0e94905e961a		0	internal	
MaritalStatusType	shared/mismo.ts	union	3	1253df0e3069		1	ULAD	MaritalStatusType
MATCH_STATUS	shared/schema/intelligence.ts	array	4	ca986812776b	MatchStatus	1	internal	
MATERIALITY_CATEGORIES	shared/schema/underwritingConditions.ts	array	5	9df372996195	MaterialityCategory	0	internal	
MESSAGE_TYPES	shared/schema/lendingWholesale.ts	array	3	f94476875458	MessageType	0	internal	
MILITARY_STATUS_TYPES	shared/schema/intelligence.ts	array	6	ef723c5a7302		0	internal	
MortgageType	shared/mismo.ts	union	5	21acce0dc8ae		4	ULAD	MortgageType
OCCUPANCY_TYPES	shared/occupancy.ts	array	3	69d7391fa2b2	OccupancyType	1	internal	
OPEN_RATE_LOCK_STATUSES	shared/statusVocabularies.ts	array	2	530435164a7f		4	internal	
OTHER_INCOME_TYPE_IDS	shared/incomeTypes.ts	array	20	8464cf565d0f	OtherIncomeTypeId	1	internal	
PaidByOtherPartyIneligibleReason	shared/liabilityExclusions.ts	union	4	1f975ddad262		0	internal	
PARTNER_PERSONAS	shared/schema/partners.ts	array	2	befe9c8e41df	PartnerPersona	1	internal	
PARTNER_PROFILE_SOURCES	shared/schema/partners.ts	array	2	346d274f1f09	PartnerProfileSource	0	internal	
PARTNER_PROFILE_STATUSES	shared/schema/partners.ts	array	2	a6d92bd859a3	PartnerProfileStatus	2	internal	
PARTNER_ROLES	shared/roles.ts	array	2	befe9c8e41df		5	internal	
PARTNER_SERVICE_TYPES	shared/schema/admin.ts	array	9	529d075a2480	PartnerServiceType	0	internal	
PartyRoleType	shared/mismo.ts	union	9	3aa52111a343		1	ULAD	PartyRoleType
PLATFORM_REVENUE_FEE_IDS	shared/revenueRecognition.ts	array	4	327a1e596b2d		1	internal	
PLATFORM_SCHEDULE_FEE_IDS	shared/compliance/feeTolerance.ts	array	3	bf718f344b46		0	internal	
POLICY_AUTHORITIES	shared/schema/underwritingConditions.ts	array	6	163e49349dd8	PolicyAuthority	1	internal	
POLICY_STATUSES	shared/schema/underwritingConditions.ts	array	5	b63e7f349a87	PolicyStatus	2	internal	
PRE_APPROVAL_CONDITION_CATEGORIES	shared/schema/lendingLetters.ts	array	4	1978f7026d81	PreApprovalConditionCategory	0	internal	
PRE_APPROVAL_LETTER_STATUS	shared/statusVocabularies.ts	array	6	0accca844c76	PreApprovalLetterStatus	3	internal	
PRE_APPROVAL_OCCUPANCY_TYPES	shared/schema/lendingLetters.ts	array	3	c72977170f17	PreApprovalOccupancyType	0	internal	
PRE_APPROVAL_PRODUCT_TYPES	shared/schema/lendingLetters.ts	array	5	7887c71f6bab	PreApprovalProductType	0	internal	
PREFERRED_LOAN_TYPES	shared/statusVocabularies.ts	array	4	968b72b0e7df	PreferredLoanType	4	internal	
PREQUAL_ELIGIBLE_STATUSES	shared/letters.ts	array	5	ceb89e26a245		2	internal	
PriorPropertyTitleType	shared/mismo.ts	union	3	97badb13de27		1	ULAD	PriorPropertyTitleType
PriorPropertyUsageType	shared/mismo.ts	union	3	fc3fe23da2b9		1	ULAD	PriorPropertyUsageType
PRODUCT_TYPES	shared/schema/underwritingCore.ts	array	10	ca7ff7b37f95	ProductType	0	internal	
PropertyUsageType	shared/mismo.ts	union	3	fc3fe23da2b9		2	ULAD	PropertyUsageType
PROTECTED_CREDIT_DECISION_STATUSES	shared/loanApplicationStatus.ts	array	4	612bd61c6b96		2	internal	
RATE_LOAN_TYPES	shared/rateLoanTypes.ts	array	4	6c7808ca9344	RateLoanType	3	internal	
RATE_LOCK_STATUSES	shared/statusVocabularies.ts	array	3	14eee65456fb	RateLockStatus	1	internal	
RateLockKind	shared/rateLockConfirmation.ts	union	2	6b5015a1fd49		0	internal	
READINESS_CATEGORIES	shared/schema/intelligence.ts	array	11	e471cf4e97f4	ReadinessCategory	1	internal	
RefinanceCashOutDeterminationType	shared/mismo.ts	union	3	4a19d5c9eb6a		1	ULAD	RefinanceCashOutDeterminationType
RENT_PAYMENT_PROVENANCE	shared/schema/rent.ts	array	3	e26b47738cb0	RentPaymentProvenance	2	internal	
RENT_PAYMENT_STATUS	shared/schema/rent.ts	array	5	ac2194ecb003	RentPaymentStatus	1	internal	
RENTAL_INCOME_TREATMENTS	shared/schema/underwritingCore.ts	array	5	92dc08b28e6c		0	internal	
REQUIRED_ACTIONS	shared/schema/underwritingConditions.ts	array	5	1fb09370677f	RequiredAction	0	internal	
REVIEW_ITEM_STATUSES	shared/schema/review.ts	array	4	7780019f7fef	ReviewItemStatus	0	internal	
REVIEW_ITEM_TIERS	shared/schema/review.ts	array	2	15e854062038	ReviewItemTier	1	internal	
REVIEW_ITEM_TYPES	shared/schema/review.ts	array	5	0749b026100d	ReviewItemType	1	internal	
RiskBriefDegradedReason	shared/riskBrief.ts	union	4	d6dc9551c6ac		1	internal	
RULE_ACTION_TYPES	shared/schema/underwritingCore.ts	array	10	cea47a72dad0		0	internal	
RULE_AUTHORITIES	shared/schema/underwritingConditions.ts	array	3	b298e9403b76	RuleAuthority	0	internal	
RULE_TRIGGER_TYPES	shared/schema/underwritingCore.ts	array	10	d5a7ef959a56		0	internal	
SEASONING_ACTIONS	shared/schema/underwritingCore.ts	array	5	ae17ccfa4d46	SeasoningAction	0	internal	
SECTION_A_FEE_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	63	8f2af59e4537		0	internal	
SECTION_B_FEE_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	95	e9e8529e7d06		0	internal	
SECTION_C_FEE_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	91	a3d404747584		0	internal	
SECTION_E_FEE_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	22	a59185501b8e		0	internal	
SECTION_E_ITEMIZED_ONLY_RECORDING_FEES	shared/fannieMae/ucdFeeEnumerations.ts	array	5	58c0907e9c55		0	internal	
SECTION_F_PREPAID_ITEM_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	22	6a5741fbfdc0		0	internal	
SECTION_G_ESCROW_ITEM_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	31	31d629a0280c		0	internal	
SECTION_H_FEE_TYPES	shared/fannieMae/ucdFeeEnumerations.ts	array	59	800af2769222		0	internal	
SELF_EMPLOYMENT_BUSINESS_STRUCTURES	shared/schema/lendingUrla.ts	array	5	a1c6c6548499	SelfEmploymentBusinessStructure	1	internal	
SERVER_ONLY_DOCUMENT_COLUMNS	shared/borrowerDocumentView.ts	array	3	a1ea2f55c642		1	internal	
SETTLED_CONDITION_STATUSES	shared/statusVocabularies.ts	array	3	f5155ebd109e		5	internal	
SEVERITY_LEVELS	shared/schema/underwritingConditions.ts	array	3	1b29297528be	SeverityLevel	0	internal	
SfcDeliveryType	shared/fannieMae/specialFeatureCodes.ts	union	2	d6e2f5022e55		0	internal	
SfcExecution	shared/fannieMae/specialFeatureCodes.ts	union	3	f87e60e4d05b		0	internal	
